*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2016-01-26 10:37:30:510281" "target: _/robot_head/tablet/selection_tablet"
"2016-01-26 10:37:49:079041" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:37:53:080720" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:37:57:081451" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:38:01:082979" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:38:21:328820" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:38:25:389345" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:38:29:390258" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:38:33:392054" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:38:37:394739" "target: _/robot_head/tablet/selection_tablet/experimenter"
"2016-01-26 10:38:41:396154" "target: _/robot_head/tablet/selection_tablet/experimenter"
