*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2016-01-26 10:25:28:204673" "withmeness: 0.31835973105"
"2016-01-26 10:25:29:206191" "withmeness: 0.31835973105"
"2016-01-26 10:25:30:207433" "withmeness: 0.31835973105"
"2016-01-26 10:25:31:207788" "withmeness: 0.31835973105"
"2016-01-26 10:25:32:208942" "withmeness: 0.31835973105"
"2016-01-26 10:25:33:209232" "withmeness: 0.31835973105"
"2016-01-26 10:25:34:227873" "withmeness: 0.31835973105"
"2016-01-26 10:25:35:229430" "withmeness: 0.31835973105"
"2016-01-26 10:25:36:230927" "withmeness: 0.31835973105"
"2016-01-26 10:25:37:232086" "withmeness: 0.31835973105"
"2016-01-26 10:25:38:233896" "withmeness: 0.31835973105"
"2016-01-26 10:25:39:234669" "withmeness: 0.31835973105"
"2016-01-26 10:25:40:235815" "withmeness: 0.31835973105"
"2016-01-26 10:25:41:237106" "withmeness: 0.286523757945"
"2016-01-26 10:25:42:238418" "withmeness: 0.257871382151"
"2016-01-26 10:25:43:239659" "withmeness: 0.232084243935"
"2016-01-26 10:25:44:240909" "withmeness: 0.208875819542"
"2016-01-26 10:25:45:242171" "withmeness: 0.187988237588"
"2016-01-26 10:25:46:243379" "withmeness: 0.169189413829"
"2016-01-26 10:25:47:243796" "withmeness: 0.152270472446"
"2016-01-26 10:25:48:245053" "withmeness: 0.137043425201"
"2016-01-26 10:25:49:246457" "withmeness: 0.123339082681"
"2016-01-26 10:25:50:248103" "withmeness: 0.111005174413"
"2016-01-26 10:25:51:249208" "withmeness: 0.0999046569719"
"2016-01-26 10:25:52:250194" "withmeness: 0.0899141912747"
"2016-01-26 10:25:53:251424" "withmeness: 0.0809227721472"
"2016-01-26 10:25:54:251780" "withmeness: 0.0728304949325"
"2016-01-26 10:25:55:253024" "withmeness: 0.0655474454392"
"2016-01-26 10:25:56:254202" "withmeness: 0.0589927008953"
"2016-01-26 10:25:57:254539" "withmeness: 0.0530934308058"
"2016-01-26 10:25:58:255785" "withmeness: 0.0477840877252"
"2016-01-26 10:25:59:257012" "withmeness: 0.0477840877252"
"2016-01-26 10:26:00:257516" "withmeness: 0.0477840877252"
"2016-01-26 10:26:01:258749" "withmeness: 0.0477840877252"
"2016-01-26 10:26:02:259886" "withmeness: 0.0477840877252"
"2016-01-26 10:26:03:268300" "withmeness: 0.0477840877252"
"2016-01-26 10:26:04:269577" "withmeness: 0.0477840877252"
"2016-01-26 10:26:05:270708" "withmeness: 0.0477840877252"
"2016-01-26 10:26:06:292543" "withmeness: 0.0477840877252"
"2016-01-26 10:26:07:300173" "withmeness: 0.0477840877252"
"2016-01-26 10:26:08:308015" "withmeness: 0.0477840877252"
"2016-01-26 10:26:09:315879" "withmeness: 0.0477840877252"
"2016-01-26 10:26:10:317072" "withmeness: 0.0477840877252"
"2016-01-26 10:26:11:332012" "withmeness: 0.0477840877252"
"2016-01-26 10:26:12:339850" "withmeness: 0.0477840877252"
"2016-01-26 10:26:13:347993" "withmeness: 0.0430056789527"
"2016-01-26 10:26:14:357412" "withmeness: 0.0387051110574"
"2016-01-26 10:26:15:358163" "withmeness: 0.0348345999517"
"2016-01-26 10:26:16:359414" "withmeness: 0.0313511399565"
"2016-01-26 10:26:17:368219" "withmeness: 0.0282160259609"
"2016-01-26 10:26:18:389479" "withmeness: 0.0282160259609"
"2016-01-26 10:26:19:407903" "withmeness: 0.0282160259609"
"2016-01-26 10:26:20:408797" "withmeness: 0.0282160259609"
"2016-01-26 10:26:21:427842" "withmeness: 0.0282160259609"
"2016-01-26 10:26:22:428437" "withmeness: 0.125394423365"
"2016-01-26 10:26:23:429019" "withmeness: 0.212854981028"
"2016-01-26 10:26:24:430224" "withmeness: 0.291569482925"
"2016-01-26 10:26:25:431875" "withmeness: 0.291569482925"
"2016-01-26 10:26:26:431999" "withmeness: 0.291569482925"
"2016-01-26 10:26:27:432794" "withmeness: 0.291569482925"
"2016-01-26 10:26:28:434781" "withmeness: 0.291569482925"
"2016-01-26 10:26:29:436033" "withmeness: 0.291569482925"
"2016-01-26 10:26:30:436832" "withmeness: 0.291569482925"
"2016-01-26 10:26:31:438323" "withmeness: 0.291569482925"
"2016-01-26 10:26:32:439507" "withmeness: 0.291569482925"
"2016-01-26 10:26:33:439835" "withmeness: 0.291569482925"
"2016-01-26 10:26:34:441101" "withmeness: 0.291569482925"
"2016-01-26 10:26:35:442347" "withmeness: 0.291569482925"
"2016-01-26 10:26:36:443554" "withmeness: 0.291569482925"
"2016-01-26 10:26:37:468936" "withmeness: 0.291569482925"
"2016-01-26 10:26:38:468760" "withmeness: 0.291569482925"
"2016-01-26 10:26:39:469970" "withmeness: 0.291569482925"
"2016-01-26 10:26:40:471189" "withmeness: 0.291569482925"
"2016-01-26 10:26:41:472399" "withmeness: 0.291569482925"
"2016-01-26 10:26:42:473671" "withmeness: 0.291569482925"
"2016-01-26 10:26:43:474917" "withmeness: 0.291569482925"
"2016-01-26 10:26:44:475329" "withmeness: 0.291569482925"
"2016-01-26 10:26:45:475814" "withmeness: 0.291569482925"
"2016-01-26 10:26:46:477056" "withmeness: 0.291569482925"
"2016-01-26 10:26:47:478434" "withmeness: 0.291569482925"
"2016-01-26 10:26:48:479738" "withmeness: 0.291569482925"
"2016-01-26 10:26:49:480987" "withmeness: 0.291569482925"
"2016-01-26 10:26:50:482183" "withmeness: 0.291569482925"
"2016-01-26 10:26:51:483405" "withmeness: 0.291569482925"
"2016-01-26 10:26:52:483917" "withmeness: 0.291569482925"
"2016-01-26 10:26:53:508540" "withmeness: 0.291569482925"
"2016-01-26 10:26:54:508200" "withmeness: 0.291569482925"
"2016-01-26 10:26:55:508882" "withmeness: 0.291569482925"
"2016-01-26 10:26:56:510060" "withmeness: 0.291569482925"
"2016-01-26 10:26:57:511032" "withmeness: 0.291569482925"
"2016-01-26 10:26:58:516328" "withmeness: 0.291569482925"
"2016-01-26 10:26:59:523993" "withmeness: 0.291569482925"
"2016-01-26 10:27:00:531921" "withmeness: 0.291569482925"
"2016-01-26 10:27:01:540918" "withmeness: 0.291569482925"
"2016-01-26 10:27:02:548664" "withmeness: 0.291569482925"
"2016-01-26 10:27:03:556342" "withmeness: 0.291569482925"
"2016-01-26 10:27:04:557250" "withmeness: 0.291569482925"
"2016-01-26 10:27:05:558442" "withmeness: 0.291569482925"
"2016-01-26 10:27:06:568139" "withmeness: 0.291569482925"
"2016-01-26 10:27:07:588170" "withmeness: 0.291569482925"
"2016-01-26 10:27:08:607864" "withmeness: 0.291569482925"
"2016-01-26 10:27:09:608790" "withmeness: 0.291569482925"
"2016-01-26 10:27:10:629341" "withmeness: 0.362412534633"
"2016-01-26 10:27:11:630332" "withmeness: 0.42617128117"
"2016-01-26 10:27:12:631604" "withmeness: 0.483554153053"
"2016-01-26 10:27:13:632563" "withmeness: 0.483554153053"
"2016-01-26 10:27:14:633591" "withmeness: 0.483554153053"
"2016-01-26 10:27:15:634669" "withmeness: 0.483554153053"
"2016-01-26 10:27:16:635857" "withmeness: 0.483554153053"
"2016-01-26 10:27:17:637165" "withmeness: 0.483554153053"
"2016-01-26 10:27:18:638610" "withmeness: 0.483554153053"
"2016-01-26 10:27:19:639599" "withmeness: 0.483554153053"
"2016-01-26 10:27:20:640781" "withmeness: 0.483554153053"
"2016-01-26 10:27:21:642001" "withmeness: 0.483554153053"
"2016-01-26 10:27:22:643176" "withmeness: 0.483554153053"
"2016-01-26 10:27:23:643774" "withmeness: 0.483554153053"
"2016-01-26 10:27:24:644980" "withmeness: 0.483554153053"
"2016-01-26 10:27:25:646183" "withmeness: 0.483554153053"
"2016-01-26 10:27:26:668420" "withmeness: 0.483554153053"
"2016-01-26 10:27:27:669240" "withmeness: 0.483554153053"
"2016-01-26 10:27:28:670178" "withmeness: 0.483554153053"
"2016-01-26 10:27:29:671370" "withmeness: 0.483554153053"
"2016-01-26 10:27:30:672611" "withmeness: 0.483554153053"
"2016-01-26 10:27:31:673944" "withmeness: 0.483554153053"
"2016-01-26 10:27:32:675119" "withmeness: 0.483554153053"
"2016-01-26 10:27:33:676378" "withmeness: 0.483554153053"
"2016-01-26 10:27:34:677695" "withmeness: 0.483554153053"
"2016-01-26 10:27:35:678917" "withmeness: 0.483554153053"
"2016-01-26 10:27:36:679825" "withmeness: 0.483554153053"
"2016-01-26 10:27:37:681088" "withmeness: 0.483554153053"
"2016-01-26 10:27:38:682308" "withmeness: 0.483554153053"
"2016-01-26 10:27:39:683506" "withmeness: 0.483554153053"
"2016-01-26 10:27:40:684778" "withmeness: 0.483554153053"
"2016-01-26 10:27:41:686020" "withmeness: 0.483554153053"
"2016-01-26 10:27:42:687254" "withmeness: 0.483554153053"
"2016-01-26 10:27:43:688664" "withmeness: 0.483554153053"
"2016-01-26 10:27:44:690010" "withmeness: 0.483554153053"
"2016-01-26 10:27:45:691332" "withmeness: 0.483554153053"
"2016-01-26 10:27:46:692600" "withmeness: 0.483554153053"
"2016-01-26 10:27:47:693819" "withmeness: 0.483554153053"
"2016-01-26 10:27:48:695030" "withmeness: 0.483554153053"
"2016-01-26 10:27:49:695554" "withmeness: 0.483554153053"
"2016-01-26 10:27:50:696802" "withmeness: 0.483554153053"
"2016-01-26 10:27:51:698000" "withmeness: 0.483554153053"
"2016-01-26 10:27:52:699228" "withmeness: 0.483554153053"
"2016-01-26 10:27:53:700475" "withmeness: 0.483554153053"
"2016-01-26 10:27:54:701750" "withmeness: 0.483554153053"
"2016-01-26 10:27:55:703088" "withmeness: 0.483554153053"
"2016-01-26 10:27:56:704279" "withmeness: 0.483554153053"
"2016-01-26 10:27:57:705752" "withmeness: 0.483554153053"
"2016-01-26 10:27:58:707959" "withmeness: 0.483554153053"
"2016-01-26 10:27:59:709134" "withmeness: 0.483554153053"
"2016-01-26 10:28:00:710651" "withmeness: 0.483554153053"
"2016-01-26 10:28:01:711169" "withmeness: 0.483554153053"
"2016-01-26 10:28:02:711538" "withmeness: 0.483554153053"
"2016-01-26 10:28:03:711848" "withmeness: 0.483554153053"
"2016-01-26 10:28:04:713075" "withmeness: 0.483554153053"
"2016-01-26 10:28:05:714525" "withmeness: 0.483554153053"
"2016-01-26 10:28:06:715387" "withmeness: 0.483554153053"
"2016-01-26 10:28:07:715843" "withmeness: 0.535198737747"
"2016-01-26 10:28:08:717065" "withmeness: 0.581678863973"
"2016-01-26 10:28:09:718443" "withmeness: 0.623510977575"
"2016-01-26 10:28:10:719197" "withmeness: 0.561159879818"
"2016-01-26 10:28:11:719566" "withmeness: 0.561159879818"
"2016-01-26 10:28:12:720784" "withmeness: 0.561159879818"
